scoringAiId,requestNo,contentsName,artistName,dContentsName,dArtistName,damserial,dataKind,dataSize,scoringEngineVersionNumber,edyId,clubDamCardNo,entryCount,topRecordNumber,lastPerformKey,requestNoTray,requestNoChapter,fadeout,analysisReportCommentNo,radarChartPitch,radarChartStability,radarChartExpressive,radarChartVibratoLongtone,radarChartRhythm,spare1,singingRangeHighest,singingRangeLowest,vocalRangeHighest,vocalRangeLowest,intonation,kobushiCount,shakuriCount,fallCount,timing,longtoneSkill,vibratoSkill,vibratoType,vibratoTotalSecond,vibratoCount,accentCount,hammeringOnCount,edgeVoiceCount,hiccupCount,aiSensitivityMeterAdd,aiSensitivityMeterDeduct,aiSensitivityPoints,aiSensitivityBonus,nationalAverageTotalPoints,nationalAveragePitch,nationalAverageStability,nationalAverageExpression,nationalAverageVibratoAndLongtone,nationalAverageRhythm,spare2,intervalGraphPointsSection01,intervalGraphPointsSection02,intervalGraphPointsSection03,intervalGraphPointsSection04,intervalGraphPointsSection05,intervalGraphPointsSection06,intervalGraphPointsSection07,intervalGraphPointsSection08,intervalGraphPointsSection09,intervalGraphPointsSection10,intervalGraphPointsSection11,intervalGraphPointsSection12,intervalGraphPointsSection13,intervalGraphPointsSection14,intervalGraphPointsSection15,intervalGraphPointsSection16,intervalGraphPointsSection17,intervalGraphPointsSection18,intervalGraphPointsSection19,intervalGraphPointsSection20,intervalGraphPointsSection21,intervalGraphPointsSection22,intervalGraphPointsSection23,intervalGraphPointsSection24,intervalGraphIndexSection01,intervalGraphIndexSection02,intervalGraphIndexSection03,intervalGraphIndexSection04,intervalGraphIndexSection05,intervalGraphIndexSection06,intervalGraphIndexSection07,intervalGraphIndexSection08,intervalGraphIndexSection09,intervalGraphIndexSection10,intervalGraphIndexSection11,intervalGraphIndexSection12,intervalGraphIndexSection13,intervalGraphIndexSection14,intervalGraphIndexSection15,intervalGraphIndexSection16,intervalGraphIndexSection17,intervalGraphIndexSection18,intervalGraphIndexSection19,intervalGraphIndexSection20,intervalGraphIndexSection21,intervalGraphIndexSection22,intervalGraphIndexSection23,intervalGraphIndexSection24,maxTotalPoints,scoringDateTime,aiSensitivityGraphAddPointsSection01,aiSensitivityGraphAddPointsSection02,aiSensitivityGraphAddPointsSection03,aiSensitivityGraphAddPointsSection04,aiSensitivityGraphAddPointsSection05,aiSensitivityGraphAddPointsSection06,aiSensitivityGraphAddPointsSection07,aiSensitivityGraphAddPointsSection08,aiSensitivityGraphAddPointsSection09,aiSensitivityGraphAddPointsSection10,aiSensitivityGraphAddPointsSection11,aiSensitivityGraphAddPointsSection12,aiSensitivityGraphAddPointsSection13,aiSensitivityGraphAddPointsSection14,aiSensitivityGraphAddPointsSection15,aiSensitivityGraphAddPointsSection16,aiSensitivityGraphAddPointsSection17,aiSensitivityGraphAddPointsSection18,aiSensitivityGraphAddPointsSection19,aiSensitivityGraphAddPointsSection20,aiSensitivityGraphAddPointsSection21,aiSensitivityGraphAddPointsSection22,aiSensitivityGraphAddPointsSection23,aiSensitivityGraphAddPointsSection24,aiSensitivityGraphDeductPointsSection01,aiSensitivityGraphDeductPointsSection02,aiSensitivityGraphDeductPointsSection03,aiSensitivityGraphDeductPointsSection04,aiSensitivityGraphDeductPointsSection05,aiSensitivityGraphDeductPointsSection06,aiSensitivityGraphDeductPointsSection07,aiSensitivityGraphDeductPointsSection08,aiSensitivityGraphDeductPointsSection09,aiSensitivityGraphDeductPointsSection10,aiSensitivityGraphDeductPointsSection11,aiSensitivityGraphDeductPointsSection12,aiSensitivityGraphDeductPointsSection13,aiSensitivityGraphDeductPointsSection14,aiSensitivityGraphDeductPointsSection15,aiSensitivityGraphDeductPointsSection16,aiSensitivityGraphDeductPointsSection17,aiSensitivityGraphDeductPointsSection18,aiSensitivityGraphDeductPointsSection19,aiSensitivityGraphDeductPointsSection20,aiSensitivityGraphDeductPointsSection21,aiSensitivityGraphDeductPointsSection22,aiSensitivityGraphDeductPointsSection23,aiSensitivityGraphDeductPointsSection24,aiSensitivityGraphIndexSection01,aiSensitivityGraphIndexSection02,aiSensitivityGraphIndexSection03,aiSensitivityGraphIndexSection04,aiSensitivityGraphIndexSection05,aiSensitivityGraphIndexSection06,aiSensitivityGraphIndexSection07,aiSensitivityGraphIndexSection08,aiSensitivityGraphIndexSection09,aiSensitivityGraphIndexSection10,aiSensitivityGraphIndexSection11,aiSensitivityGraphIndexSection12,aiSensitivityGraphIndexSection13,aiSensitivityGraphIndexSection14,aiSensitivityGraphIndexSection15,aiSensitivityGraphIndexSection16,aiSensitivityGraphIndexSection17,aiSensitivityGraphIndexSection18,aiSensitivityGraphIndexSection19,aiSensitivityGraphIndexSection20,aiSensitivityGraphIndexSection21,aiSensitivityGraphIndexSection22,aiSensitivityGraphIndexSection23,aiSensitivityGraphIndexSection24,favorite
"2080933","5244-53","正しくなれない","ずっと真夜中でいいのに。","正しくなれない","ずっと真夜中でいいのに。","AT001930","A00001",,,,"ODAwMDA5NDE3NjQyOTY2","1",,"0","5244","53","0","1861","87","77","63","92","97",,"77","57","65","57","80","8","13","0","6","9","6","13","78","18","0","0","0","0","78","28","74","1048","83809","73","73","66","66","93",,"84","89","92","68","88","86","85","87","94","87","87","43","50","0","0","0","0","0","0","0","0","0","0","50","B'01","B'01","B'00","B'01","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'00","B'01","B'01","B'01","B'10","B'10","B'01","B'01","B'01","B'01","B'10","B'10","B'10","94104","20250715123446","46","42","21","90","51","71","51","43","30","51","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","54","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","B'01","B'01","B'00","B'01","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'00","B'01","B'01","B'01","B'10","B'10","B'01","B'01","B'01","B'01","B'10","B'10","B'10","0"
"2080947","5244-53","正しくなれない","ずっと真夜中でいいのに。","正しくなれない","ずっと真夜中でいいのに。","AT001930","A00001",,,,"ODAwMDA5NDE3NjQyOTY2","1",,"0","5244","53","0","1931","86","78","77","85","97",,"77","57","69","57","90","34","18","0","6","5","8","13","136","28","0","0","0","0","83","14","78","2750","83809","73","73","66","66","93",,"85","92","96","84","77","86","81","93","94","82","87","91","88","86","86","87","83","81","81","84","91","89","86","81","B'01","B'01","B'00","B'01","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'00","B'01","B'01","B'01","B'10","B'10","B'01","B'01","B'01","B'01","B'10","B'10","B'10","94104","20250715123853","38","63","33","55","72","38","65","67","77","42","33","33","66","77","30","88","62","93","38","21","51","56","71","42","0","0","0","0","0","0","0","0","51","0","0","0","33","21","0","0","0","0","0","0","0","0","0","0","B'01","B'01","B'00","B'01","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'00","B'01","B'01","B'01","B'10","B'10","B'01","B'01","B'01","B'01","B'10","B'10","B'10","0"
"2080961","5353-26","ネバギバ!","ソナーポケット(Sonar Pocket)","ネバギバ!","ソナーポケット(Sonar Pocket)","AT001930","A00001",,,,"ODAwMDA5NDE3NjQyOTY2","1",,"0","5353","26","0","1131","86","71","78","86","96",,"68","53","68","53","83","25","10","0","5","8","4","10","40","13","0","0","0","0","85","9","83","3006","84955","73","66","66","60","93",,"87","94","76","83","93","91","91","89","77","83","81","79","94","89","93","88","90","79","82","77","97","91","88","81","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'10","92530","20250715124442","78","32","71","61","31","45","12","25","50","71","55","68","76","85","100","12","37","30","76","100","66","85","100","52","0","0","0","0","29","0","0","0","40","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'10","0"
"2080969","7609-91","千本桜","WhiteFlame feat.初音ミク","千本桜","WhiteFlame feat.初音ミク","AT001930","A00001",,,,"ODAwMDA5NDE3NjQyOTY2","1",,"0","7609","91","0","2121","86","43","74","92","98",,"76","55","69","55","82","49","16","0","5","10","5","10","17","5","0","0","0","0","81","0","81","2619","83545","73","66","66","46","93",,"84","78","90","86","95","88","84","83","82","83","86","88","86","87","83","91","100","100","0","86","73","84","84","83","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'00","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'00","B'00","B'00","B'00","B'01","B'10","B'10","B'10","B'10","94457","20250715124951","33","38","100","42","61","48","40","12","40","52","68","63","78","78","30","0","0","0","21","38","42","100","38","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'00","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'00","B'00","B'00","B'00","B'01","B'10","B'10","B'10","B'10","0"
"2080980","4662-42","ヒカリノアトリエ(生音)","Mr.Children","[生音]ヒカリノアトリエ","Mr.Children","AT001930","A00001",,,,"ODAwMDA5NDE3NjQyOTY2","1",,"0","4662","42","0","3361","81","72","83","81","99",,"69","44","69","44","98","19","26","1","5","5","6","13","43","15","0","0","0","0","83","15","80","2186","82120","73","66","73","53","93",,"88","92","91","82","71","77","77","90","86","77","81","74","76","76","84","62","100","0","80","85","85","74","77","95","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'00","B'01","B'01","B'01","B'01","B'10","B'10","B'01","B'01","B'00","B'00","B'01","B'01","B'10","B'01","B'10","B'10","0","20250715125612","57","81","62","47","90","52","46","25","48","53","78","21","90","60","37","62","12","21","30","46","40","52","78","91","9","0","0","22","0","0","0","0","56","0","0","0","18","0","0","0","0","0","0","0","0","2","0","0","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'00","B'01","B'01","B'01","B'01","B'10","B'10","B'01","B'01","B'00","B'00","B'01","B'01","B'10","B'01","B'10","B'10","0"
"2080994","4662-42","ヒカリノアトリエ(生音)","Mr.Children","[生音]ヒカリノアトリエ","Mr.Children","AT001930","A00001",,,,"ODAwMDA5NDE3NjQyOTY2","1",,"0","4662","42","0","3081","82","66","87","72","99",,"69","44","69","44","93","15","37","0","5","4","5","10","35","11","0","0","0","0","90","4","89","3183","82120","73","66","73","53","93",,"94","90","95","88","76","79","74","100","77","76","74","74","75","82","89","73","86","0","79","80","85","86","70","100","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'00","B'01","B'01","B'01","B'01","B'10","B'10","B'01","B'01","B'00","B'00","B'01","B'01","B'10","B'01","B'10","B'10","89750","20250715130514","65","56","83","81","63","67","68","35","83","58","100","43","100","41","100","63","12","21","52","100","52","60","50","33","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66","0","0","17","0","0","0","0","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'00","B'01","B'01","B'01","B'01","B'10","B'10","B'01","B'01","B'00","B'00","B'01","B'01","B'10","B'01","B'10","B'10","0"
"2081012","4662-42","ヒカリノアトリエ(生音)","Mr.Children","[生音]ヒカリノアトリエ","Mr.Children","AT001930","A00001",,,,"ODAwMDA5NDE3NjQyOTY2","1",,"0","4662","42","0","1041","83","75","81","85","99",,"69","44","69","44","92","30","46","0","5","7","5","10","30","8","0","0","0","0","85","38","76","2605","82120","73","66","73","53","93",,"92","91","93","88","76","86","66","100","86","88","76","87","73","87","88","83","100","0","75","90","91","64","85","86","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'00","B'01","B'01","B'01","B'01","B'10","B'10","B'01","B'01","B'00","B'00","B'01","B'01","B'10","B'01","B'10","B'10","90334","20250715131531","77","72","68","66","50","68","66","31","31","80","98","41","47","67","35","21","12","21","62","38","38","66","60","61","0","0","0","0","0","0","0","0","19","0","34","20","0","0","0","0","53","0","0","35","0","0","100","61","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'00","B'01","B'01","B'01","B'01","B'10","B'10","B'01","B'01","B'00","B'00","B'01","B'01","B'10","B'01","B'10","B'10","0"
"2081021","4662-42","ヒカリノアトリエ(生音)","Mr.Children","[生音]ヒカリノアトリエ","Mr.Children","AT001930","A00001",,,,"ODAwMDA5NDE3NjQyOTY2","1",,"0","4662","42","0","3611","84","37","64","26","99",,"69","44","68","44","78","10","9","0","5","3","0","10","8","2","0","0","0","0","95","8","94","1240","82120","73","66","73","53","93",,"87","85","85","82","85","86","75","37","50","0","0","0","0","0","0","50","50","50","50","0","0","0","0","50","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'00","B'01","B'01","B'01","B'01","B'10","B'10","B'01","B'01","B'00","B'00","B'01","B'01","B'10","B'01","B'10","B'10","91261","20250715132125","93","81","88","77","52","97","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'00","B'01","B'01","B'01","B'01","B'10","B'10","B'01","B'01","B'00","B'00","B'01","B'01","B'10","B'01","B'10","B'10","0"
"2081034","4662-42","ヒカリノアトリエ(生音)","Mr.Children","[生音]ヒカリノアトリエ","Mr.Children","AT001930","A00001",,,,"ODAwMDA5NDE3NjQyOTY2","1",,"0","4662","42","0","1571","84","43","89","79","99",,"69","44","69","44","97","25","47","1","5","4","6","1","60","13","0","0","0","0","94","2","93","2819","82120","73","66","73","53","93",,"88","95","88","93","70","84","77","100","89","87","82","81","77","89","84","87","100","0","78","77","85","89","82","91","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'00","B'01","B'01","B'01","B'01","B'10","B'10","B'01","B'01","B'00","B'00","B'01","B'01","B'10","B'01","B'10","B'10","91261","20250715132406","82","71","97","57","93","48","100","25","75","91","75","51","67","40","100","73","12","33","100","97","82","46","76","21","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","0","0","8","0","0","0","0","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'00","B'01","B'01","B'01","B'01","B'10","B'10","B'01","B'01","B'00","B'00","B'01","B'01","B'10","B'01","B'10","B'10","0"
"2081056","5628-73","Snow fairy","FUNKIST","Snow fairy","FUNKIST","AT001930","A00001",,,,"ODAwMDA5NDE3NjQyOTY2","1",,"0","5628","73","0","3081","82","47","73","82","92",,"73","54","73","54","87","31","12","1","5","5","6","13","47","11","0","0","0","0","76","1","76","2497","82377","73","66","66","66","93",,"80","73","90","88","70","75","83","70","95","75","92","77","79","88","82","91","88","76","87","88","83","75","80","81","B'01","B'00","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'01","B'01","B'01","B'01","B'10","B'10","B'00","B'00","B'01","B'01","B'10","B'10","B'10","B'10","B'10","92345","20250715133200","42","63","38","12","33","30","67","82","56","31","40","52","63","21","43","12","0","81","100","31","60","41","36","67","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","B'01","B'00","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'01","B'01","B'01","B'01","B'10","B'10","B'00","B'00","B'01","B'01","B'10","B'10","B'10","B'10","B'10","0"
