scoringDxgId,requestNo,contentsName,artistName,dContentsName,dArtistName,damserial,dataKind,dataSize,scoringEngineVersionNumber,edyId,clubDamCardNo,entryCount,topRecordNumber,lastPerformKey,requestNoChapter,requestNoTray,analysisReportCommentNo,radarChartPitch,radarChartStability,radarChartExpressive,radarChartVibratoLongtone,radarChartRhythm,singingRangeHighest,singingRangeLowest,vocalRangeHighest,vocalRangeLowest,intonation,kobushiCount,shakuriCount,fallCount,vibratoCount,timing,longtoneSkill,vibratoSkill,vibratoType,vibratoTotalSecond,nationalAverageTotalPoints,nationalAveragePitch,nationalAverageStability,nationalAverageExpression,nationalAverageVibratoAndLongtone,nationalAverageRhythm,intervalGraphPointsSection01,intervalGraphPointsSection02,intervalGraphPointsSection03,intervalGraphPointsSection04,intervalGraphPointsSection05,intervalGraphPointsSection06,intervalGraphPointsSection07,intervalGraphPointsSection08,intervalGraphPointsSection09,intervalGraphPointsSection10,intervalGraphPointsSection11,intervalGraphPointsSection12,intervalGraphPointsSection13,intervalGraphPointsSection14,intervalGraphPointsSection15,intervalGraphPointsSection16,intervalGraphPointsSection17,intervalGraphPointsSection18,intervalGraphPointsSection19,intervalGraphPointsSection20,intervalGraphPointsSection21,intervalGraphPointsSection22,intervalGraphPointsSection23,intervalGraphPointsSection24,intervalGraphIndexSection01,intervalGraphIndexSection02,intervalGraphIndexSection03,intervalGraphIndexSection04,intervalGraphIndexSection05,intervalGraphIndexSection06,intervalGraphIndexSection07,intervalGraphIndexSection08,intervalGraphIndexSection09,intervalGraphIndexSection10,intervalGraphIndexSection11,intervalGraphIndexSection12,intervalGraphIndexSection13,intervalGraphIndexSection14,intervalGraphIndexSection15,intervalGraphIndexSection16,intervalGraphIndexSection17,intervalGraphIndexSection18,intervalGraphIndexSection19,intervalGraphIndexSection20,intervalGraphIndexSection21,intervalGraphIndexSection22,intervalGraphIndexSection23,intervalGraphIndexSection24,lastTotalPoints,scoringDateTime,expressionGraphPointsSection01,expressionGraphPointsSection02,expressionGraphPointsSection03,expressionGraphPointsSection04,expressionGraphPointsSection05,expressionGraphPointsSection06,expressionGraphPointsSection07,expressionGraphPointsSection08,expressionGraphPointsSection09,expressionGraphPointsSection10,expressionGraphPointsSection11,expressionGraphPointsSection12,expressionGraphPointsSection13,expressionGraphPointsSection14,expressionGraphPointsSection15,expressionGraphPointsSection16,expressionGraphPointsSection17,expressionGraphPointsSection18,expressionGraphPointsSection19,expressionGraphPointsSection20,expressionGraphPointsSection21,expressionGraphPointsSection22,expressionGraphPointsSection23,expressionGraphPointsSection24,expressionGraphIndexSection01,expressionGraphIndexSection02,expressionGraphIndexSection03,expressionGraphIndexSection04,expressionGraphIndexSection05,expressionGraphIndexSection06,expressionGraphIndexSection07,expressionGraphIndexSection08,expressionGraphIndexSection09,expressionGraphIndexSection10,expressionGraphIndexSection11,expressionGraphIndexSection12,expressionGraphIndexSection13,expressionGraphIndexSection14,expressionGraphIndexSection15,expressionGraphIndexSection16,expressionGraphIndexSection17,expressionGraphIndexSection18,expressionGraphIndexSection19,expressionGraphIndexSection20,expressionGraphIndexSection21,expressionGraphIndexSection22,expressionGraphIndexSection23,expressionGraphIndexSection24,bonusType,bonusPoint,favorite
"102281740","4000-35","シンメトリー","ReGLOSS","シンメトリー","ReGLOSS","AM102267","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","35","4000","1252","79","42","64","67","99","76","56","63","47","43","36","8","1","28","5","2","5","10","139","82172","81","67","67","60","88","90","70","71","76","79","64","80","83","84","92","0","0","84","64","67","73","73","87","81","87","78","89","88","84","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","0","20240429133740","80","55","61","22","50","56","61","58","64","58","0","0","56","63","54","61","68","65","69","58","53","64","55","57","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","0","0","0"
"102281749","4000-35","シンメトリー","ReGLOSS","シンメトリー","ReGLOSS","AM102267","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","35","4000","3101","82","78","62","77","99","76","56","68","49","43","14","5","0","9","5","4","6","5","39","82172","81","67","67","60","88","78","87","80","83","71","76","92","95","79","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","82564","20240429134339","46","48","43","46","52","47","54","51","72","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","1","549","0"
"102281754","4000-35","シンメトリー","ReGLOSS","シンメトリー","ReGLOSS","AM102267","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","35","4000","1892","85","46","62","73","99","76","56","64","47","42","40","11","0","46","5","4","5","10","215","82172","81","67","67","60","88","90","81","80","83","82","79","93","82","96","86","0","0","94","77","75","84","83","84","87","89","82","94","93","86","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","80520","20240429134637","64","58","55","54","37","56","54","55","75","63","0","0","60","53","37","51","57","56","62","49","52","63","62","75","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","1","1227","0"
"102281763","4000-35","シンメトリー","ReGLOSS","シンメトリー","ReGLOSS","AM102267","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","35","4000","2482","82","43","62","67","98","76","56","68","47","41","34","13","0","31","5","3","4","10","138","82172","81","67","67","60","88","93","78","82","88","77","80","78","93","82","82","0","0","85","83","69","89","75","75","85","85","76","77","88","89","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","87211","20240429135249","40","32","25","50","52","39","42","56","66","60","0","0","75","51","61","50","61","61","65","56","56","51","59","63","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","1","636","0"
"102281770","4000-35","シンメトリー","ReGLOSS","シンメトリー","ReGLOSS","AM102267","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","35","4000","341","86","34","58","69","99","76","56","64","47","38","33","8","0","30","5","3","5","10","128","82172","81","67","67","60","88","77","88","90","80","76","82","90","92","83","97","0","0","88","80","84","88","90","94","86","81","81","88","84","94","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","85004","20240429140001","55","48","68","56","52","49","41","56","62","60","0","0","63","58","50","42","58","42","48","43","53","60","56","54","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","1","1235","0"
"102281776","4000-35","シンメトリー","ReGLOSS","シンメトリー","ReGLOSS","AM102267","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","35","4000","1722","85","52","60","60","99","76","56","64","47","38","33","10","1","28","5","3","4","5","126","82172","81","67","67","60","88","81","79","78","85","83","75","95","92","87","85","0","0","87","87","81","89","82","88","81","83","87","94","88","97","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","87024","20240429140407","63","57","69","59","39","59","60","56","54","62","0","0","56","54","46","41","61","49","60","58","61","50","66","51","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","1","1228","0"
"102281782","4000-35","シンメトリー","ReGLOSS","シンメトリー","ReGLOSS","AM102267","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","35","4000","1761","85","28","59","72","99","76","56","64","47","39","30","7","0","31","5","4","5","11","142","82172","81","67","67","60","88","72","88","84","78","85","84","85","75","81","100","0","0","86","83","80","84","85","89","86","81","87","95","90","94","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","87123","20240429140858","65","53","66","58","49","52","60","45","56","45","0","0","53","54","45","48","57","57","58","46","67","56","56","59","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","1","1213","0"
"102281784","4000-35","シンメトリー","ReGLOSS","シンメトリー","ReGLOSS","AM102267","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","35","4000","2883","84","76","58","70","99","76","56","68","47","39","13","3","0","13","5","3","5","10","57","82172","81","67","67","60","88","94","82","66","88","79","76","89","86","89","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","86654","20240429141528","77","53","63","54","46","55","54","53","58","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","1","984","0"
"102281787","4000-35","シンメトリー","ReGLOSS","シンメトリー","ReGLOSS","AM102267","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","35","4000","861","86","5","57","73","99","76","56","68","47","38","5","1","0","6","5","4","5","12","27","82172","81","67","67","60","88","93","83","93","87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","81585","20240429141736","52","56","61","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","1","1119","0"
"102281790","4000-35","シンメトリー","ReGLOSS","シンメトリー","ReGLOSS","AM102267","A00001",,,"0000000000000000","ODAwMDA5NDE3NjQyOTY2","1",,"0","35","4000","3111","85","47","67","60","99","76","56","64","47","47","25","7","1","23","5","3","4","10","99","82172","81","67","67","60","88","87","83","78","86","82","73","79","91","84","87","0","0","82","89","89","87","80","0","0","0","0","0","0","0","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","77900","20240429141904","72","57","52","60","57","47","62","60","74","50","0","0","88","80","61","55","57","0","0","0","0","0","0","0","1","1","1","1","1","1","1","2","2","2","0","0","1","1","1","1","1","2","2","2","2","2","2","2","1","1188","0"
