scoringHeartsHistoryId,songName,artistName,requestNo,damserial,dataKind,dataSize,scoringEngineVersionNumber,edyId,cdmCardNo,entryCount,topRecordNumber,lastPerformKey,requestNoTray,requestNoChapter,totalScore,fadeout,analysisReportCommentNo,radarChartPitch,radarChartStability,radarChartExpressive,radarChartVibratoLongtone,radarChartRhythm,radarChartHearing,spare1,singingRangeHighest,singingRangeLowest,vocalRangeHighest,vocalRangeLowest,intonation,kobushiCount,shakuriCount,fallCount,timing,longtoneSkill,longtoneCount,vibratoSkill,vibratoType,vibratoTotalSecond,vibratoCount,accentCount,hammeringOnCount,pullingOffCount,edgeVoiceCount,hiccupCount,flydownCount,hearingType,scoreType,hearingPoint,nationalAverageTotalPoints,nationalAveragePitch,nationalAverageStability,nationalAverageExpression,nationalAverageVibratoAndLongtone,nationalAverageRhythm,nationalAverageHearing,spare2,intervalGraphPointsSection01,intervalGraphPointsSection02,intervalGraphPointsSection03,intervalGraphPointsSection04,intervalGraphPointsSection05,intervalGraphPointsSection06,intervalGraphPointsSection07,intervalGraphPointsSection08,intervalGraphPointsSection09,intervalGraphPointsSection10,intervalGraphPointsSection11,intervalGraphPointsSection12,intervalGraphPointsSection13,intervalGraphPointsSection14,intervalGraphPointsSection15,intervalGraphPointsSection16,intervalGraphPointsSection17,intervalGraphPointsSection18,intervalGraphPointsSection19,intervalGraphPointsSection20,intervalGraphPointsSection21,intervalGraphPointsSection22,intervalGraphPointsSection23,intervalGraphPointsSection24,intervalGraphIndexSection01,intervalGraphIndexSection02,intervalGraphIndexSection03,intervalGraphIndexSection04,intervalGraphIndexSection05,intervalGraphIndexSection06,intervalGraphIndexSection07,intervalGraphIndexSection08,intervalGraphIndexSection09,intervalGraphIndexSection10,intervalGraphIndexSection11,intervalGraphIndexSection12,intervalGraphIndexSection13,intervalGraphIndexSection14,intervalGraphIndexSection15,intervalGraphIndexSection16,intervalGraphIndexSection17,intervalGraphIndexSection18,intervalGraphIndexSection19,intervalGraphIndexSection20,intervalGraphIndexSection21,intervalGraphIndexSection22,intervalGraphIndexSection23,intervalGraphIndexSection24,maxTotalPoints,scoringDateTime,hearingGraphPtSection01,hearingGraphPtSection02,hearingGraphPtSection03,hearingGraphPtSection04,hearingGraphPtSection05,hearingGraphPtSection06,hearingGraphPtSection07,hearingGraphPtSection08,hearingGraphPtSection09,hearingGraphPtSection10,hearingGraphPtSection11,hearingGraphPtSection12,hearingGraphPtSection13,hearingGraphPtSection14,hearingGraphPtSection15,hearingGraphPtSection16,hearingGraphPtSection17,hearingGraphPtSection18,hearingGraphPtSection19,hearingGraphPtSection20,hearingGraphPtSection21,hearingGraphPtSection22,hearingGraphPtSection23,hearingGraphPtSection24,hearingGraphHtSection01,hearingGraphHtSection02,hearingGraphHtSection03,hearingGraphHtSection04,hearingGraphHtSection05,hearingGraphHtSection06,hearingGraphHtSection07,hearingGraphHtSection08,hearingGraphHtSection09,hearingGraphHtSection10,hearingGraphHtSection11,hearingGraphHtSection12,hearingGraphHtSection13,hearingGraphHtSection14,hearingGraphHtSection15,hearingGraphHtSection16,hearingGraphHtSection17,hearingGraphHtSection18,hearingGraphHtSection19,hearingGraphHtSection20,hearingGraphHtSection21,hearingGraphHtSection22,hearingGraphHtSection23,hearingGraphHtSection24,hearingGraphIxSection01,hearingGraphIxSection02,hearingGraphIxSection03,hearingGraphIxSection04,hearingGraphIxSection05,hearingGraphIxSection06,hearingGraphIxSection07,hearingGraphIxSection08,hearingGraphIxSection09,hearingGraphIxSection10,hearingGraphIxSection11,hearingGraphIxSection12,hearingGraphIxSection13,hearingGraphIxSection14,hearingGraphIxSection15,hearingGraphIxSection16,hearingGraphIxSection17,hearingGraphIxSection18,hearingGraphIxSection19,hearingGraphIxSection20,hearingGraphIxSection21,hearingGraphIxSection22,hearingGraphIxSection23,hearingGraphIxSection24,rankingRank,rankingRankAll,medalKind,intonationType,intonationScore,favorite
"11948","渋谷アクアリウム","JELEE","3402-95","BA009520","A00001",,,,"0080000941764296","1",,"0","3402","95","93014","0","3772","91","77","80","92","97","72","0","72","57","72","57","84","27","14","0","4","9","7","6","1","118","28","13","0","0","0","0","0","19","0","1023","0","0","0","0","0","0","0","0","88","89","82","92","89","90","93","95","93","83","0","93","94","91","87","99","85","96","93","88","88","92","96","92","B'01","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'00","B'01","B'01","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'10","B'10","93014","20250607122639","20","10","50","30","10","30","50","50","60","10","0","10","30","20","40","10","50","20","60","20","40","0","50","50","000000","000000","000000","190000","000000","190000","000000","190000","000000","000000","000000","000000","190000","000000","000000","000000","190000","000000","190000","000000","000000","000000","130000","000000","B'01","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'00","B'01","B'01","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'10","B'10","0","1","3","0","0","0"
"11950","[生音]星座になれたら","結束バンド","3345-50","BA009520","A00001",,,,"0080000941764296","1",,"0","3345","50","92182","0","1571","91","70","77","95","95","65","0","73","56","73","56","83","15","11","0","6","9","2","7","10","198","44","7","0","0","0","0","0","13","0","1918","0","0","0","0","0","0","0","0","90","85","100","92","93","91","90","91","100","0","88","95","100","91","93","93","85","0","87","89","85","98","92","90","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'00","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'00","B'01","B'01","B'10","B'10","B'10","B'10","92182","20250607123115","10","50","20","40","40","15","30","35","20","0","20","40","25","20","40","10","45","0","50","70","35","35","25","50","000000","000000","130000","000000","000000","130000","000000","190000","000000","000000","000000","130000","000000","130000","000000","130000","000000","000000","130000","000000","000000","190000","130000","000000","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'00","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'00","B'01","B'01","B'10","B'10","B'10","B'10","0","1","3","0","0","0"
"11954","ふゆびより","佐々木恵梨","4400-73","BA009520","A00001",,,,"0080000941764296","1",,"0","4400","73","94390","0","4491","94","75","82","96","96","77","0","76","57","76","57","89","25","22","1","4","9","13","8","1","224","41","16","0","0","0","0","0","18","0","1446","0","0","0","0","0","0","0","0","97","92","90","100","94","87","93","0","87","88","94","93","93","100","100","0","0","100","95","100","93","100","96","84","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'00","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'00","B'00","B'01","B'01","B'01","B'10","B'10","B'10","B'10","94390","20250607123628","30","20","20","40","20","50","60","0","40","55","35","40","70","40","60","0","0","40","30","50","30","60","50","40","000000","130000","000000","000000","000000","010000","190000","000000","000000","000000","190000","000000","190000","000000","190000","000000","000000","000000","000000","130000","000000","000000","130000","000000","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'00","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'00","B'00","B'01","B'01","B'01","B'10","B'10","B'10","B'10","0","1","3","0","0","0"
"11956","恋するフォーチュンクッキー","AKB48","6572-52","BA009520","A00001",,,,"0080000941764296","1",,"0","6572","52","94290","0","2861","90","88","83","91","90","73","0","73","57","73","57","82","35","12","1","2","8","3","7","1","327","73","16","0","0","0","0","0","18","0","2680","0","0","0","0","0","0","0","0","89","85","94","91","92","89","86","91","89","95","92","96","89","84","89","94","83","87","0","95","94","97","87","97","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'10","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'00","B'10","B'10","B'10","B'10","B'10","94290","20250607124156","15","35","35","40","60","30","40","50","30","30","10","30","45","35","20","65","45","40","0","40","30","35","26","25","000000","130000","000000","130000","000000","190000","190000","000000","130000","000000","130000","000000","130000","000000","190000","190000","000000","190000","000000","000000","130000","000000","130000","130000","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'10","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'00","B'10","B'10","B'10","B'10","B'10","0","1","3","0","0","0"
"11961","Stellar Stellar","星街すいせい","1261-94","BA009520","A00001",,,,"0080000941764296","1",,"0","1261","94","91801","0","2711","87","75","82","95","99","72","0","76","52","76","56","87","31","16","0","5","9","23","8","13","305","60","12","0","0","0","0","0","19","0","2484","0","0","0","0","0","0","0","0","84","0","81","86","89","84","86","87","88","93","0","87","89","86","83","89","87","94","0","87","93","95","0","86","B'01","B'00","B'01","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'00","B'01","B'01","B'01","B'01","B'10","B'10","B'01","B'00","B'10","B'10","B'10","B'00","B'10","91801","20250607124744","35","0","30","15","15","30","30","30","30","25","0","20","25","25","35","40","50","60","0","36","40","40","0","30","000000","000000","000000","190000","000000","190000","000000","190000","000000","000000","130000","000000","000000","130000","000000","190000","000000","190000","000000","190000","190000","000000","000000","130000","B'01","B'00","B'01","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'00","B'01","B'01","B'01","B'01","B'10","B'10","B'01","B'00","B'10","B'10","B'10","B'00","B'10","0","1","3","0","0","0"
"12463","残酷な天使のテーゼ","高橋洋子","1896-04","BA008134","A00001",,,,"0080000941764296","1",,"0","1896","04","92777","0","2731","90","79","79","92","98","69","0","72","58","72","58","88","12","8","0","5","8","4","7","10","208","50","27","0","1","0","0","0","3","0","1619","0","0","0","0","0","0","0","0","88","0","86","92","89","100","93","86","92","85","0","0","0","97","94","87","100","85","94","92","92","85","86","88","B'01","B'00","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'00","B'00","B'00","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'10","B'10","92777","20250609103337","30","0","50","10","20","20","20","40","40","10","0","0","0","10","35","20","30","50","30","40","40","45","70","45","000000","000000","000000","130000","130000","000000","000000","000000","010000","000000","000000","000000","000000","000000","250000","000000","000000","010000","000000","190000","000000","130000","000000","000000","B'01","B'00","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'00","B'00","B'00","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'10","B'10","0","1","3","0","0","0"
"12465","1日は25時間。","JELEE","3402-97","BA008134","A00001",,,,"0080000941764296","1",,"0","3402","97","93833","0","1043","90","81","83","93","99","74","0","74","55","74","55","84","19","16","0","5","9","11","7","10","97","25","29","0","0","0","0","0","18","0","1852","0","0","0","0","0","0","0","0","82","84","95","89","96","94","95","86","95","81","84","94","92","91","0","0","92","91","93","87","93","94","90","92","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'01","B'01","B'01","B'01","B'01","B'00","B'00","B'10","B'10","B'10","B'10","B'10","B'10","B'10","B'10","93833","20250609103807","10","20","25","15","30","10","30","45","20","30","30","15","25","20","0","0","60","35","30","20","50","40","40","35","000000","000000","190000","000000","000000","000000","010000","130000","000000","000000","190000","000000","130000","000000","000000","010000","000000","010000","000000","130000","000000","130000","000000","190000","B'01","B'01","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'01","B'01","B'01","B'01","B'01","B'00","B'00","B'10","B'10","B'10","B'10","B'10","B'10","B'10","B'10","0","1","3","0","0","0"
"12467","シャルル","バルーン","7638-86","BA008134","A00001",,,,"0080000941764296","1",,"0","7638","86","92527","0","3412","88","84","79","88","99","73","0","82","58","82","60","88","17","13","1","5","6","4","8","10","43","11","9","0","1","0","0","0","4","0","1942","0","0","0","0","0","0","0","0","89","0","0","89","87","90","83","85","0","0","90","85","84","89","90","91","0","88","90","86","85","86","88","84","B'01","B'00","B'00","B'01","B'01","B'01","B'10","B'10","B'00","B'00","B'01","B'01","B'01","B'10","B'10","B'10","B'00","B'01","B'01","B'10","B'10","B'10","B'10","B'10","92527","20250609104447","15","0","0","20","40","45","40","60","0","0","30","15","35","30","30","25","0","20","40","20","50","30","50","20","000000","000000","000000","130000","000000","190000","000000","000000","010000","000000","000000","000000","250000","000000","130000","000000","000000","000000","190000","000000","190000","000000","000000","010000","B'01","B'00","B'00","B'01","B'01","B'01","B'10","B'10","B'00","B'00","B'01","B'01","B'01","B'10","B'10","B'10","B'00","B'01","B'01","B'10","B'10","B'10","B'10","B'10","0","1","3","0","0","0"
"12469","[生音]君の知らない物語","supercell","3318-03","BA008134","A00001",,,,"0080000941764296","1",,"0","3318","03","94944","0","2711","94","67","88","90","98","86","0","74","57","74","57","97","5","21","1","5","8","34","6","13","193","46","20","3","3","0","0","7","3","0","1169","0","0","0","0","0","0","0","0","95","0","90","89","95","89","84","90","92","100","93","97","91","100","91","0","0","96","87","100","100","96","95","94","B'01","B'00","B'01","B'01","B'01","B'10","B'10","B'10","B'01","B'01","B'10","B'10","B'10","B'01","B'01","B'00","B'00","B'01","B'01","B'10","B'10","B'10","B'10","B'10","94944","20250609105214","25","0","30","25","10","30","50","50","20","30","30","36","20","20","25","0","0","30","40","35","40","35","30","60","000000","000000","000000","250000","000000","010000","000000","000000","130000","000000","010000","130000","000000","000000","130000","000000","000000","000000","250000","010000","000000","010000","000000","010000","B'01","B'00","B'01","B'01","B'01","B'10","B'10","B'10","B'01","B'01","B'10","B'10","B'10","B'01","B'01","B'00","B'00","B'01","B'01","B'10","B'10","B'10","B'10","B'10","0","1","3","0","0","0"
"12471","SUN","星野 源","5941-40","BA008134","A00001",,,,"0080000941764296","1",,"0","5941","40","92825","0","2462","88","68","94","89","95","85","0","69","51","69","51","95","22","16","0","4","7","6","7","10","134","32","28","1","0","0","4","2","3","0","1157","0","0","0","0","0","0","0","0","92","89","88","90","96","85","97","91","0","86","84","93","89","95","88","88","100","74","75","79","93","80","92","100","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'10","B'00","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'10","B'10","B'10","B'10","B'10","B'10","B'10","B'10","92825","20250609105707","40","50","30","40","45","50","55","55","0","30","80","40","35","35","30","40","20","40","30","30","45","50","45","35","000000","000000","000000","190000","130000","000000","130000","010000","000000","000000","000000","130000","000000","010000","000000","000000","000000","010000","000000","130000","000000","130000","000000","190000","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'10","B'00","B'01","B'01","B'01","B'10","B'10","B'10","B'10","B'10","B'10","B'10","B'10","B'10","B'10","B'10","B'10","0","1","3","0","0","0"
